,Date,Index,Inflation
0,1913-01-01,9.8,
1,1913-02-01,9.8,0.0
2,1913-03-01,9.8,0.0
3,1913-04-01,9.8,0.0
4,1913-05-01,9.7,-1.02
5,1913-06-01,9.8,1.03
6,1913-07-01,9.9,1.02
7,1913-08-01,9.9,0.0
8,1913-09-01,10.0,1.01
9,1913-10-01,10.0,0.0
10,1913-11-01,10.1,1.0
11,1913-12-01,10.0,-0.99
12,1914-01-01,10.0,0.0
13,1914-02-01,9.9,-1.0
14,1914-03-01,9.9,0.0
15,1914-04-01,9.8,-1.01
16,1914-05-01,9.9,1.02
17,1914-06-01,9.9,0.0
18,1914-07-01,10.0,1.01
19,1914-08-01,10.2,2.0
20,1914-09-01,10.2,0.0
21,1914-10-01,10.1,-0.98
22,1914-11-01,10.2,0.99
23,1914-12-01,10.1,-0.98
24,1915-01-01,10.1,0.0
25,1915-02-01,10.0,-0.99
26,1915-03-01,9.9,-1.0
27,1915-04-01,10.0,1.01
28,1915-05-01,10.1,1.0
29,1915-06-01,10.1,0.0
30,1915-07-01,10.1,0.0
31,1915-08-01,10.1,0.0
32,1915-09-01,10.1,0.0
33,1915-10-01,10.2,0.99
34,1915-11-01,10.3,0.98
35,1915-12-01,10.3,0.0
36,1916-01-01,10.4,0.97
37,1916-02-01,10.4,0.0
38,1916-03-01,10.5,0.96
39,1916-04-01,10.6,0.95
40,1916-05-01,10.7,0.94
41,1916-06-01,10.8,0.93
42,1916-07-01,10.8,0.0
43,1916-08-01,10.9,0.93
44,1916-09-01,11.1,1.83
45,1916-10-01,11.3,1.8
46,1916-11-01,11.5,1.77
47,1916-12-01,11.6,0.87
48,1917-01-01,11.7,0.86
49,1917-02-01,12.0,2.56
50,1917-03-01,12.0,0.0
51,1917-04-01,12.6,5.0
52,1917-05-01,12.8,1.59
53,1917-06-01,13.0,1.56
54,1917-07-01,12.8,-1.54
55,1917-08-01,13.0,1.56
56,1917-09-01,13.3,2.31
57,1917-10-01,13.5,1.5
58,1917-11-01,13.5,0.0
59,1917-12-01,13.7,1.48
60,1918-01-01,14.0,2.19
61,1918-02-01,14.1,0.71
62,1918-03-01,14.0,-0.71
63,1918-04-01,14.2,1.43
64,1918-05-01,14.5,2.11
65,1918-06-01,14.7,1.38
66,1918-07-01,15.1,2.72
67,1918-08-01,15.4,1.99
68,1918-09-01,15.7,1.95
69,1918-10-01,16.0,1.91
70,1918-11-01,16.3,1.88
71,1918-12-01,16.5,1.23
72,1919-01-01,16.5,0.0
73,1919-02-01,16.2,-1.82
74,1919-03-01,16.4,1.23
75,1919-04-01,16.7,1.83
76,1919-05-01,16.9,1.2
77,1919-06-01,16.9,0.0
78,1919-07-01,17.4,2.96
79,1919-08-01,17.7,1.72
80,1919-09-01,17.8,0.56
81,1919-10-01,18.1,1.69
82,1919-11-01,18.5,2.21
83,1919-12-01,18.9,2.16
84,1920-01-01,19.3,2.12
85,1920-02-01,19.5,1.04
86,1920-03-01,19.7,1.03
87,1920-04-01,20.3,3.05
88,1920-05-01,20.6,1.48
89,1920-06-01,20.9,1.46
90,1920-07-01,20.8,-0.48
91,1920-08-01,20.3,-2.4
92,1920-09-01,20.0,-1.48
93,1920-10-01,19.9,-0.5
94,1920-11-01,19.8,-0.5
95,1920-12-01,19.4,-2.02
96,1921-01-01,19.0,-2.06
97,1921-02-01,18.4,-3.16
98,1921-03-01,18.3,-0.54
99,1921-04-01,18.1,-1.09
100,1921-05-01,17.7,-2.21
101,1921-06-01,17.6,-0.56
102,1921-07-01,17.7,0.57
103,1921-08-01,17.7,0.0
104,1921-09-01,17.5,-1.13
105,1921-10-01,17.5,0.0
106,1921-11-01,17.4,-0.57
107,1921-12-01,17.3,-0.57
108,1922-01-01,16.9,-2.31
109,1922-02-01,16.9,0.0
110,1922-03-01,16.7,-1.18
111,1922-04-01,16.7,0.0
112,1922-05-01,16.7,0.0
113,1922-06-01,16.7,0.0
114,1922-07-01,16.8,0.6
115,1922-08-01,16.6,-1.19
116,1922-09-01,16.6,0.0
117,1922-10-01,16.7,0.6
118,1922-11-01,16.8,0.6
